category,base_revenue,new_revenue,rev_delta_pct,base_profit,new_profit,profit_delta_pct,base_units,new_units,scenario
Clothing,21499469.430778205,22825399.200483005,6.167267401523062,10749734.715389103,12234783.447345229,13.814747724240679,26.383093525179856,22.602232665921136,"S5: +15% Price, −10% Discount"
Clothing,21499469.430778205,23663707.033103842,10.066469822866225,10749734.715389103,11831853.516551921,10.066469822866225,26.383093525179856,26.39903606657333,"S1: +10% Price, No Discount Change"
Clothing,21499469.430778205,21418325.02332072,-0.3774251626010877,10749734.715389103,11244620.637243379,4.603703579268868,26.383093525179856,23.75212811101345,"S3: +5% Price, −5% Discount"
Clothing,21499469.430778205,23019162.52146621,7.068514390929309,10749734.715389103,10358623.134659795,-3.638337048163618,26.383093525179856,31.659712230215824,"S4: No Price Change, +10% Discount"
Clothing,21499469.430778205,19336605.403113812,-10.060080945849206,10749734.715389103,9668302.701556906,-10.060080945849206,26.383093525179856,26.365481067252965,"S2: −10% Price, No Discount Change"
Electronics,19044188.9748686,20358629.250853755,6.9020543627231286,4761047.24371715,5431025.1865791995,14.072070882013968,25.744402985074625,22.32645019794812,"S5: +15% Price, −10% Discount"
Electronics,19044188.9748686,20971319.70844417,10.1192586154164,4761047.24371715,5242829.927111043,10.1192586154164,25.744402985074625,25.772314274663003,"S1: +10% Price, No Discount Change"
Electronics,19044188.9748686,18971809.049787063,-0.38006304798304275,4761047.24371715,4980099.875569104,4.600933799617808,25.744402985074625,23.18281852899917,"S3: +5% Price, −5% Discount"
Electronics,19044188.9748686,20403427.2600662,7.1372862713728615,4761047.24371715,4590771.133514895,-3.576442355764422,25.744402985074625,30.89328358208955,"S4: No Price Change, +10% Discount"
Electronics,19044188.9748686,17119251.593499467,-10.107741442333667,4761047.24371715,4279812.898374867,-10.107741442333667,25.744402985074625,25.713583661634278,"S2: −10% Price, No Discount Change"
Grocery,22147434.551229034,23872235.69145023,7.787814594198597,4429486.910245807,5104032.676037058,15.2285305151476,26.44982698961938,23.079681728849703,"S5: +15% Price, −10% Discount"
Grocery,22147434.551229034,24566972.19339664,10.924685821154565,4429486.910245807,4913394.438679328,10.924685821154569,26.44982698961938,26.672170444067493,"S1: +10% Price, No Discount Change"
Grocery,22147434.551229034,22148094.088306114,0.002977938937148179,4429486.910245807,4651099.758544285,5.0031268358840215,26.44982698961938,23.90707271822793,"S3: +5% Price, −5% Discount"
Grocery,22147434.551229034,23722162.01067899,7.110202564579071,4429486.910245807,4269989.161922219,-3.600817691878824,26.44982698961938,31.739792387543254,"S4: No Price Change, +10% Discount"
Grocery,22147434.551229034,19749088.369248092,-10.829002232440729,4429486.910245807,3949817.6738496185,-10.82900223244073,26.44982698961938,26.206194038263092,"S2: −10% Price, No Discount Change"
Home,20417520.94733538,21969542.265927125,7.60141900965843,8167008.378934152,9360028.885950886,14.607803147282066,26.483304042179263,23.165990379562814,"S5: +15% Price, −10% Discount"
Home,20417520.94733538,22546674.857386615,10.428072612454464,8167008.378934152,9018669.942954646,10.428072612454468,26.483304042179263,26.58636565261346,"S1: +10% Price, No Discount Change"
Home,20417520.94733538,20366932.49021134,-0.24776983089439,8167008.378934152,8554111.645888764,4.739841677560902,26.483304042179263,23.882411003865208,"S3: +5% Price, −5% Discount"
Home,20417520.94733538,21880274.445414055,7.16420716232728,8167008.378934152,7876898.80034906,-3.5522135539054407,26.483304042179263,31.779964850615116,"S4: No Price Change, +10% Discount"
Home,20417520.94733538,18297040.13204448,-10.385593925728962,8167008.378934152,7318816.052817792,-10.385593925728962,26.483304042179263,26.36983958471373,"S2: −10% Price, No Discount Change"
Personal Care,21024587.09992279,22525293.636351205,7.137864488353854,9461064.194965256,10835629.88801055,14.52865834878041,26.358288770053477,22.8622790571985,"S5: +15% Price, −10% Discount"
Personal Care,21024587.09992279,23224534.231356062,10.463687686125118,9461064.194965256,10451040.404110229,10.46368768612512,26.358288770053477,26.469397987598967,"S1: +10% Price, No Discount Change"
Personal Care,21024587.09992279,20980382.978661817,-0.21024965223282263,9461064.194965256,9913230.95741771,4.779237865155547,26.358288770053477,23.77359739606154,"S3: +5% Price, −5% Discount"
Personal Care,21024587.09992279,22519615.177447457,7.110855829982772,9461064.194965256,9120444.146866221,-3.6002297530154985,26.358288770053477,31.62994652406417,"S4: No Price Change, +10% Discount"
Personal Care,21024587.09992279,18834343.78472826,-10.417533075846116,9461064.194965256,8475454.703127718,-10.417533075846107,26.358288770053477,26.236005910229025,"S2: −10% Price, No Discount Change"
